with_beam;run;time_created;time_created_HUMAN;time_completed;time_completed_HUMAN;DAQ_time_start;DAQ_time_start_HUMAN;DAQ_time_end;DAQ_time_end_HUMAN;TRGTimeStart;TRGTimeStart_HUMAN;TRGTimeEnd;TRGTimeEnd_HUMAN;duration;pauseDuration;numberOfLDCs;numberOfGDCs;numberOfDetectors;partition;totalSubEvents;averageSubEventsPerSecond;totalEvents;totalEventsPhysics;totalEventsCalibration;totalEventsIncomplete;averageEventsPerSecond;totalDataReadout;averageDataRateReadout;totalDataEventBuilder;averageDataRateEventBuilder;totalDataRecorded;averageDataRateRecorded;run_type;HLTmode;LHCperiod;LDClocalRecording;GDClocalRecording;GDCmStreamRecording;eventBuilding;eor_reason;ecs_success;daq_success;dataMigrated;L3_magnetCurrent;Dipole_magnetCurrent;runQualityOverview;LHCFillNumber;ctp_act_config;numberOfPar;numberOfFailedPar
1;255467;1464909150.000000;03/06/2016 01:12:30;1464910598.000000;03/06/2016 01:36:38;1464909215.000000;03/06/2016 01:13:35;1464910597.000000;03/06/2016 01:36:37;1464909219.000000;03/06/2016 01:13:39;1464910536.000000;03/06/2016 01:35:36;1317.000000;0;202;18;17;PHYSICS_1;;;937559;929901;6648;222;678.407380607;7893605652128.0;5711726231.6000000000;7893740178128.0;5711823573.2000000000;7914740268249.0;5727019007.4000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;DAQ_Request;Yes;No;Yes;30;6;0.947368421;4980;pp2016 (v212);0;0
1;255466;1464907209.000000;03/06/2016 00:40:09;1464909124.000000;03/06/2016 01:12:04;1464907274.000000;03/06/2016 00:41:14;1464909124.000000;03/06/2016 01:12:04;1464907278.000000;03/06/2016 00:41:18;1464909064.000000;03/06/2016 01:11:04;1786.000000;0;202;18;17;PHYSICS_1;;;1271142;1261102;9030;130;687.103783783;10680881721004.0;5773449578.9000000000;10681064133708.0;5773548180.4000000000;10709634468086.0;5788991604.4000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;DAQ_Request;Yes;No;Yes;30;6;0.947368421;4980;pp2016 (v212);0;0
1;255465;1464898452.000000;02/06/2016 22:14:12;1464907200.000000;03/06/2016 00:40:00;1464898536.000000;02/06/2016 22:15:36;1464907199.000000;03/06/2016 00:39:59;1464898541.000000;02/06/2016 22:15:41;1464907147.000000;03/06/2016 00:39:07;8606.000000;47;202;18;17;PHYSICS_1;;;5951176;5906303;42247;1;686.964792796;51916942974388.0;5992951976.7000000000;51917797121012.0;5993050573.8000000000;52062150188184.0;6009713746.8000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.947368421;4980;pp2016 (v212);2;0
1;255463;1464894730.000000;02/06/2016 21:12:10;1464898239.000000;02/06/2016 22:10:39;1464894817.000000;02/06/2016 21:13:37;1464898239.000000;02/06/2016 22:10:39;1464894822.000000;02/06/2016 21:13:42;1464898175.000000;02/06/2016 22:09:35;3353.000000;0;202;18;17;PHYSICS_1;;;2401657;2383685;16962;2;701.828462887;20819885042248.0;6084127715.4000000000;20820229750296.0;6084228448.4000000000;20875918408230.0;6100502164.9000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Operator_Request;Yes;No;Yes;30;6;0.947368421;4980;pp2016 (v212);0;0
1;255447;1464878328.000000;02/06/2016 16:38:48;1464894606.000000;02/06/2016 21:10:06;1464878396.000000;02/06/2016 16:39:56;1464894605.000000;02/06/2016 21:10:05;1464878401.000000;02/06/2016 16:40:01;1464894552.000000;02/06/2016 21:09:12;16151.000000;305;187;18;16;PHYSICS_1;;;10155638;10081451;70074;11;626.543155037;84344673585988.0;5203570460.0000000000;84346131249892.0;5203660389.3000000000;84589281987751.0;5218661360.2000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.944444444;4980;pp2016 (v212);13;0
1;255442;1464875053.000000;02/06/2016 15:44:13;1464878088.000000;02/06/2016 16:34:48;1464875121.000000;02/06/2016 15:45:21;1464878087.000000;02/06/2016 16:34:47;1464875125.000000;02/06/2016 15:45:25;1464878030.000000;02/06/2016 16:33:50;2905.000000;25;187;18;16;PHYSICS_1;;;1974183;1971692;1183;4858;665.604517869;17157365817240.0;5784681664.6000000000;17157649940168.0;5784777457.9000000000;17201892825706.0;5799694142.2000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Subsystem_failure:DCS;Yes;No;Yes;30;6;0.944444444;4980;pp2016 (v212);1;0
1;255440;1464858960.000000;02/06/2016 11:16:00;1464874491.000000;02/06/2016 15:34:51;1464859029.000000;02/06/2016 11:17:09;1464874490.000000;02/06/2016 15:34:50;1464859034.000000;02/06/2016 11:17:14;1464874438.000000;02/06/2016 15:33:58;15404.000000;142;202;18;17;PHYSICS_1;;;10886227;10843765;39836;11;704.108854537;102815547832916.0;6649993391.9000000000;102817112777924.0;6650094610.8000000000;103111091657546.0;6669108832.4000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Operator_Request;Yes;No;Yes;30;6;0.947368421;4980;pp2016 (v212);6;0
1;255407;1464804947.000000;01/06/2016 20:15:47;1464813215.000000;01/06/2016 22:33:35;1464805014.000000;01/06/2016 20:16:54;1464813214.000000;01/06/2016 22:33:34;1464805018.000000;01/06/2016 20:16:58;1464813161.000000;01/06/2016 22:32:41;8143.000000;68;179;18;14;PHYSICS_1;;;3576470;3537166;37693;3;436.154878048;50990123999784.0;6218307804.9000000000;50990636496008.0;6218370304.4000000000;51110102808822.0;6232939366.9000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.937500000;4979;pp2016 (v212);3;0
1;255402;1464799617.000000;01/06/2016 18:46:57;1464804702.000000;01/06/2016 20:11:42;1464799686.000000;01/06/2016 18:48:06;1464804701.000000;01/06/2016 20:11:41;1464799691.000000;01/06/2016 18:48:11;1464804641.000000;01/06/2016 20:10:41;4950.000000;0;187;18;16;PHYSICS_1;;;3597655;3572777;23943;130;717.378863409;35201953687712.0;7019332739.3000000000;35202470157840.0;7019435724.4000000000;35290103295898.0;7036909929.4000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;DAQ_Request;Yes;No;Yes;30;6;0.944444444;4979;pp2016 (v208);0;0
1;255398;1464793615.000000;01/06/2016 17:06:55;1464799605.000000;01/06/2016 18:46:45;1464793684.000000;01/06/2016 17:08:04;1464799604.000000;01/06/2016 18:46:44;1464793689.000000;01/06/2016 17:08:09;1464799540.000000;01/06/2016 18:45:40;5851.000000;251;187;18;16;PHYSICS_1;;;3700510;3675123;23517;42182;625.086148648;34653820636908.0;5853685918.4000000000;34654349247884.0;5853775210.8000000000;34744534327984.0;5869009177.0000000000;PHYSICS;B;LHC16h;No;No;Yes;Yes;Operator_Request;Yes;No;Yes;30;6;0.944444444;4979;pp2016 (v208);5;0
