with_beam;run;time_created;time_created_HUMAN;time_completed;time_completed_HUMAN;DAQ_time_start;DAQ_time_start_HUMAN;DAQ_time_end;DAQ_time_end_HUMAN;TRGTimeStart;TRGTimeStart_HUMAN;TRGTimeEnd;TRGTimeEnd_HUMAN;duration;pauseDuration;numberOfLDCs;numberOfGDCs;numberOfDetectors;partition;totalSubEvents;averageSubEventsPerSecond;totalEvents;totalEventsPhysics;totalEventsCalibration;totalEventsIncomplete;averageEventsPerSecond;totalDataReadout;averageDataRateReadout;totalDataEventBuilder;averageDataRateEventBuilder;totalDataRecorded;averageDataRateRecorded;run_type;HLTmode;LHCperiod;LDClocalRecording;GDClocalRecording;GDCmStreamRecording;eventBuilding;eor_reason;ecs_success;daq_success;dataMigrated;L3_magnetCurrent;Dipole_magnetCurrent;runQualityOverview;LHCFillNumber;ctp_act_config;numberOfPar;numberOfFailedPar
1;264035;1477025875.000000;21/10/2016 06:57:55;1477026611.000000;21/10/2016 07:10:11;1477025939.000000;21/10/2016 06:58:59;1477026610.000000;21/10/2016 07:10:10;1477025943.000000;21/10/2016 06:59:03;1477026544.000000;21/10/2016 07:09:04;601.000000;24;204;18;18;PHYSICS_1;;;226542;222008;2494;0;337.61847988;1149303827724.0;1712822396.0000000000;248719517504.0;370669921.8000000000;204085872667.0;304151822.2000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.700000000;5437;pp2016 (v264);1;0
1;264033;1477017605.000000;21/10/2016 04:40:05;1477025336.000000;21/10/2016 06:48:56;1477017671.000000;21/10/2016 04:41:11;1477025336.000000;21/10/2016 06:48:56;1477017676.000000;21/10/2016 04:41:16;1477025278.000000;21/10/2016 06:47:58;7602.000000;118;204;18;18;PHYSICS_1;;;3567020;3528278;34866;2;465.364644487;21859459506980.0;2851853817.0000000000;4565115849012.0;595579367.1000000000;3770663836875.0;491932659.7000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.750000000;5437;pp2016 (v264);5;0
1;263985;1476944670.000000;20/10/2016 08:24:30;1476946995.000000;20/10/2016 09:03:15;1476944735.000000;20/10/2016 08:25:35;1476946995.000000;20/10/2016 09:03:15;1476944740.000000;20/10/2016 08:25:40;1476946936.000000;20/10/2016 09:02:16;2196.000000;0;202;18;17;PHYSICS_1;;;1079735;1067407;11116;0;477.758849557;6289380069180.0;2782911535.0000000000;1320510655684.0;584296750.3000000000;1084749349426.0;479977588.2000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;BeamDump;Yes;Yes;Yes;30;6;0.789473684;5433;pp2016 (v264);0;0
1;263984;1476942362.000000;20/10/2016 07:46:02;1476944600.000000;20/10/2016 08:23:20;1476942426.000000;20/10/2016 07:47:06;1476944599.000000;20/10/2016 08:23:19;1476942431.000000;20/10/2016 07:47:11;1476944529.000000;20/10/2016 08:22:09;2098.000000;0;202;18;17;PHYSICS_1;;;968280;957271;9999;1;445.595950299;5809759142240.0;2673612122.5000000000;1221073431524.0;561929789.0000000000;1002566865014.0;461374535.2000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;pauseAndResetError;Yes;No;Yes;30;6;0.789473684;5433;pp2016 (v264);1;1
1;263981;1476939485.000000;20/10/2016 06:58:05;1476941003.000000;20/10/2016 07:23:23;1476939551.000000;20/10/2016 06:59:11;1476941002.000000;20/10/2016 07:23:22;1476939555.000000;20/10/2016 06:59:15;1476940935.000000;20/10/2016 07:22:15;1380.000000;24;202;18;17;PHYSICS_1;;;602305;594550;6543;4;415.096485182;3459418915504.0;2384161899.0000000000;722745194748.0;498101443.7000000000;594607838865.0;409791756.6000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;Operator_Request;Yes;No;Yes;30;6;0.789473684;5433;pp2016 (v264);1;0
1;263979;1476925016.000000;20/10/2016 02:56:56;1476938776.000000;20/10/2016 06:46:16;1476925081.000000;20/10/2016 02:58:01;1476938776.000000;20/10/2016 06:46:16;1476925085.000000;20/10/2016 02:58:05;1476938716.000000;20/10/2016 06:45:16;13631.000000;23;204;18;18;PHYSICS_1;;;6645918;6576674;68020;6;485.280613362;39371022302484.0;2874846462.4000000000;8275140048464.0;604245348.6000000000;6800310043791.0;496554220.1000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;DAQ_Request;Yes;No;Yes;30;6;0.750000000;5433;pp2016 (v264);2;1
1;263978;1476921527.000000;20/10/2016 01:58:47;1476924937.000000;20/10/2016 02:55:37;1476921596.000000;20/10/2016 01:59:56;1476924936.000000;20/10/2016 02:55:36;1476921600.000000;20/10/2016 02:00:00;1476924878.000000;20/10/2016 02:54:38;3278.000000;23;204;18;18;PHYSICS_1;;;1542899;1525449;16022;0;461.945808383;9186632268780.0;2750488703.2000000000;1939447266292.0;580672834.2000000000;1595442917842.0;477677520.3000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.750000000;5433;pp2016 (v263);1;0
1;263977;1476917978.000000;20/10/2016 00:59:38;1476921412.000000;20/10/2016 01:56:52;1476918043.000000;20/10/2016 01:00:43;1476921412.000000;20/10/2016 01:56:52;1476918048.000000;20/10/2016 01:00:48;1476921352.000000;20/10/2016 01:55:52;3304.000000;0;204;18;18;PHYSICS_1;;;1650187;1632234;16729;0;489.815078658;10103211350092.0;2998875437.8000000000;2123456772040.0;630292897.6000000000;1750670876131.0;519641103.0000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.750000000;5433;pp2016 (v261);0;0
1;263923;1476870294.000000;19/10/2016 11:44:54;1476871359.000000;19/10/2016 12:02:39;1476870368.000000;19/10/2016 11:46:08;1476871358.000000;19/10/2016 12:02:38;1476870373.000000;19/10/2016 11:46:13;1476871297.000000;19/10/2016 12:01:37;924.000000;0;204;18;18;PHYSICS_1;;;375785;370895;3870;2;379.58080808;1889754611632.0;1908843042.1000000000;395384921052.0;399378708.1000000000;324544919373.0;327823150.9000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;DAQ_Request;Yes;No;Yes;30;6;0.750000000;5427;pp2016 (v256);1;1
1;263922;1476865756.000000;19/10/2016 10:29:16;1476869515.000000;19/10/2016 11:31:55;1476865820.000000;19/10/2016 10:30:20;1476869514.000000;19/10/2016 11:31:54;1476865824.000000;19/10/2016 10:30:24;1476869459.000000;19/10/2016 11:30:59;3635.000000;49;199;18;14;PHYSICS_1;;;2441374;2425670;14112;2;660.902544667;21917800159080.0;5933351423.7000000000;4197260889828.0;1136237382.2000000000;3757677576926.0;1017238109.6000000000;PHYSICS;C;LHC16o;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;-0.062500000;5427;pp2016 (v244);2;0
