with_beam;run;time_created;time_created_HUMAN;time_completed;time_completed_HUMAN;DAQ_time_start;DAQ_time_start_HUMAN;DAQ_time_end;DAQ_time_end_HUMAN;TRGTimeStart;TRGTimeStart_HUMAN;TRGTimeEnd;TRGTimeEnd_HUMAN;duration;pauseDuration;numberOfLDCs;numberOfGDCs;numberOfDetectors;partition;totalSubEvents;averageSubEventsPerSecond;totalEvents;totalEventsPhysics;totalEventsCalibration;totalEventsIncomplete;averageEventsPerSecond;totalDataReadout;averageDataRateReadout;totalDataEventBuilder;averageDataRateEventBuilder;totalDataRecorded;averageDataRateRecorded;run_type;HLTmode;LHCperiod;LDClocalRecording;GDClocalRecording;GDCmStreamRecording;eventBuilding;eor_reason;ecs_success;daq_success;dataMigrated;L3_magnetCurrent;Dipole_magnetCurrent;runQualityOverview;LHCFillNumber;ctp_act_config;numberOfPar;numberOfFailedPar
1;256512;1466138112.000000;17/06/2016 06:35:12;1466152161.000000;17/06/2016 10:29:21;1466138181.000000;17/06/2016 06:36:21;1466152161.000000;17/06/2016 10:29:21;1466138185.000000;17/06/2016 06:36:25;1466152098.000000;17/06/2016 10:28:18;13913.000000;188;200;18;17;PHYSICS_1;;;7167749;7099311;65240;7;512.714520743;39043146126172.0;2792785845.9000000000;11542874202116.0;825670543.8000000000;11619298787791.0;831137252.3000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;pauseAndResetError;Yes;No;Yes;30;6;0.894736842;5024;pp2016 (v224);9;1
1;256556;1466187199.000000;17/06/2016 20:13:19;1466189727.000000;17/06/2016 20:55:27;1466187269.000000;17/06/2016 20:14:29;1466189727.000000;17/06/2016 20:55:27;1466187273.000000;17/06/2016 20:14:33;1466189654.000000;17/06/2016 20:54:14;2381.000000;24;200;18;17;PHYSICS_1;;;1198895;1186436;10884;106;487.752237591;6561755573504.0;2669550680.8000000000;1944230040996.0;790980488.6000000000;1956828931415.0;796106156.0000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;pauseAndResetError;Yes;No;Yes;30;6;0.894736842;5026;pp2016 (v224);2;1
1;256557;1466189831.000000;17/06/2016 20:57:11;1466193595.000000;17/06/2016 21:59:55;1466189901.000000;17/06/2016 20:58:21;1466193594.000000;17/06/2016 21:59:54;1466189906.000000;17/06/2016 20:58:26;1466193533.000000;17/06/2016 21:58:53;3627.000000;0;185;18;16;PHYSICS_1;;;1937362;1918236;18016;0;524.603845112;10510293261848.0;2846004132.6000000000;3094145616608.0;837840676.0000000000;3113106425674.0;842974932.5000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.944444444;5026;pp2016 (v224);0;0
1;256560;1466193841.000000;17/06/2016 22:04:01;1466216493.000000;18/06/2016 04:21:33;1466193908.000000;17/06/2016 22:05:08;1466216492.000000;18/06/2016 04:21:32;1466193912.000000;17/06/2016 22:05:12;1466216418.000000;18/06/2016 04:20:18;22506.000000;23;200;18;17;PHYSICS_1;;;11677179;11563086;112694;2;517.055393198;64513143459132.0;2856586231.8000000000;19177665720588.0;849170462.3000000000;19310553129560.0;855054601.9000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;pauseAndResetError;Yes;No;Yes;30;6;0.894736842;5026;pp2016 (v224);2;1
1;256561;1466216722.000000;18/06/2016 04:25:22;1466220441.000000;18/06/2016 05:27:21;1466216786.000000;18/06/2016 04:26:26;1466220440.000000;18/06/2016 05:27:20;1466216791.000000;18/06/2016 04:26:31;1466220379.000000;18/06/2016 05:26:19;3588.000000;45;132;18;16;PHYSICS_1;;;1692641;1691152;433;1;463.229611384;8361603479732.0;2288342495.8000000000;2484531455576.0;679948400.5000000000;2499399200081.0;684017296.1000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.888888888;5026;pp2016 (v224);2;0
1;256562;1466220528.000000;18/06/2016 05:28:48;1466225867.000000;18/06/2016 06:57:47;1466220597.000000;18/06/2016 05:29:57;1466225867.000000;18/06/2016 06:57:47;1466220601.000000;18/06/2016 05:30:01;1466225803.000000;18/06/2016 06:56:43;5202.000000;24;200;18;17;PHYSICS_1;;;2466176;2438676;25899;0;467.965085388;14576150169560.0;2765872897.4000000000;4346701424148.0;824801029.3000000000;4374760172988.0;830125270.0000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;Operator_Request;Yes;Yes;Yes;30;6;0.894736842;5026;pp2016 (v224);1;0
1;256564;1466226234.000000;18/06/2016 07:03:54;1466240627.000000;18/06/2016 11:03:47;1466226302.000000;18/06/2016 07:05:02;1466240626.000000;18/06/2016 11:03:46;1466226307.000000;18/06/2016 07:05:07;1466240564.000000;18/06/2016 11:02:44;14257.000000;70;200;18;17;PHYSICS_1;;;7917793;7845266;70351;354129;552.764102206;39086560107260.0;2728746167.8000000000;11654100541228.0;813606572.3000000000;11736966906553.0;819391713.7000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;Subsystem_failure:HLT;Yes;No;Yes;30;6;0.894736842;5026;pp2016 (v224);3;0
1;256565;1466240737.000000;18/06/2016 11:05:37;1466252668.000000;18/06/2016 14:24:28;1466240805.000000;18/06/2016 11:06:45;1466252667.000000;18/06/2016 14:24:27;1466240810.000000;18/06/2016 11:06:50;1466252605.000000;18/06/2016 14:23:25;11795.000000;22;200;18;17;PHYSICS_1;;;6377433;6316794;59039;0;537.635558927;32298984241864.0;2722895316.3000000000;9630136980016.0;811847663.1000000000;9697642062586.0;817538531.7000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;Subsystem_failure:DCS;Yes;Yes;Yes;30;6;0.894736842;5026;pp2016 (v224);1;0
1;256567;1466253095.000000;18/06/2016 14:31:35;1466259301.000000;18/06/2016 16:15:01;1466253160.000000;18/06/2016 14:32:40;1466259301.000000;18/06/2016 16:15:01;1466253165.000000;18/06/2016 14:32:45;1466259237.000000;18/06/2016 16:13:57;6072.000000;0;200;18;17;PHYSICS_1;;;3318331;3286408;30719;2;540.356782283;16655755523744.0;2712222036.1000000000;4969831526976.0;809287009.8000000000;5004016823565.0;814853741.0000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;BeamDump;Yes;Yes;Yes;30;6;0.894736842;5026;pp2016 (v224);0;0
1;256589;1466276365.000000;18/06/2016 20:59:25;1466282123.000000;18/06/2016 22:35:23;1466276458.000000;18/06/2016 21:00:58;1466282123.000000;18/06/2016 22:35:23;1466276462.000000;18/06/2016 21:01:02;1466282058.000000;18/06/2016 22:34:18;5596.000000;0;200;18;17;PHYSICS_1;;;3149075;3119547;28330;1496;555.882612533;21280649287352.0;3756513554.7000000000;6289468020720.0;1110232660.3000000000;6325956611566.0;1116673717.8000000000;PHYSICS;C;LHC16k;No;No;Yes;Yes;Subsystem_failure:DCS;Yes;No;Yes;30;6;0.894736842;5027;pp2016 (v224);0;0
