with_beam;run;partition;CINT7-B-NOPF-CENT__SEP__LMb_rate
1;260014;PHYSICS_1;111550.21684505
1;260011;PHYSICS_1;114718.06348197
1;260010;PHYSICS_1;115929.11923061
1;259979;PHYSICS_1;104045.86873597
1;259961;PHYSICS_1;106835.26572717
1;259954;PHYSICS_1;107323.73076435
1;259888;PHYSICS_1;113549.74538955
1;259868;PHYSICS_1;105388.61615051
1;259867;PHYSICS_1;109442.91747133
1;259866;PHYSICS_1;107993.60779041
1;259860;PHYSICS_1;112410.31101709
1;259842;PHYSICS_1;107685.04822197
1;259841;PHYSICS_1;112047.22668661
1;259822;PHYSICS_1;113449.56066521
1;259792;PHYSICS_1;109393.96963036
1;259789;PHYSICS_1;113370.36392274
1;259788;PHYSICS_1;110456.95910785
1;259756;PHYSICS_1;104489.67590188
1;259752;PHYSICS_1;103334.14436359
1;259751;PHYSICS_1;107260.14804303
1;259750;PHYSICS_1;107353.29734998
1;259748;PHYSICS_1;103293.9462291
1;259747;PHYSICS_1;105840.87498745
1;259713;PHYSICS_1;107195.50271009
1;259711;PHYSICS_1;107538.20661017
1;259705;PHYSICS_1;103077.26937474
1;259704;PHYSICS_1;103602.44142743
1;259703;PHYSICS_1;107867.74839389
1;259700;PHYSICS_1;109924.90996226
1;259697;PHYSICS_1;108783.03152339
1;259668;PHYSICS_1;109410.51594699
1;259650;PHYSICS_1;111371.26862957
1;259649;PHYSICS_1;111884.70787134
1;259477;PHYSICS_1;109121.98501582
1;259473;PHYSICS_1;110339.19934995
1;259471;PHYSICS_1;208192.927917
1;259470;PHYSICS_1;208193.553811
1;259469;PHYSICS_1;112540.89167301
1;259396;PHYSICS_1;110346.69007662
1;259395;PHYSICS_1;105013.44380766
1;259394;PHYSICS_1;107099.47529292
1;259389;PHYSICS_1;110273.34764965
1;259388;PHYSICS_1;104764.42929825
1;259382;PHYSICS_1;106238.62430216
1;259381;PHYSICS_1;108730.98270763
1;259379;PHYSICS_1;20628509.959594
1;259378;PHYSICS_1;110074.30271623
1;259342;PHYSICS_1;108522.09188765
1;259341;PHYSICS_1;107530.68461848
1;259340;PHYSICS_1;108780.14825317
1;259339;PHYSICS_1;110938.65033331
1;259336;PHYSICS_1;109761.10126825
1;259334;PHYSICS_1;109271.44315899
1;259307;PHYSICS_1;113167.6790854
1;259305;PHYSICS_1;109246.35910382
1;259303;PHYSICS_1;111642.43011355
1;259302;PHYSICS_1;111153.86927565
1;259274;PHYSICS_1;105655.49200805
1;259273;PHYSICS_1;104947.12195236
1;259272;PHYSICS_1;109599.03961601
1;259271;PHYSICS_1;107822.11258538
1;259270;PHYSICS_1;111238.59304988
1;259269;PHYSICS_1;108865.848013
1;259264;PHYSICS_1;106997.67693595
1;259263;PHYSICS_1;108547.96737271
1;259261;PHYSICS_1;108496.23367435
1;259204;PHYSICS_1;111253.25375064
1;259164;PHYSICS_1;108750.94918385
1;259162;PHYSICS_1;106466.85624203
1;259117;PHYSICS_1;111165.84006477
1;259099;PHYSICS_1;105174.65643932
1;259096;PHYSICS_1;106470.81457554
1;259091;PHYSICS_1;103978.59726066
1;259090;PHYSICS_1;104416.8705107
1;259088;PHYSICS_1;105498.14241799
1;259086;PHYSICS_1;107460.74630399
1;258964;PHYSICS_1;109972.37988196
1;258962;PHYSICS_1;112358.57018265
1;258931;PHYSICS_1;102803.90447343
1;258926;PHYSICS_1;100809.855296
1;258923;PHYSICS_1;102885.73472045
1;258921;PHYSICS_1;11299.627235799
1;258920;PHYSICS_1;11077.799853489
1;258919;PHYSICS_1;102805.6891836
1;258890;PHYSICS_1;1382.3300722597
1;258889;PHYSICS_1;11890.483116366
1;258886;PHYSICS_1;12045.959979032
1;258885;PHYSICS_1;12250.621328999
1;258884;PHYSICS_1;12454.548094964
1;258883;PHYSICS_1;9874.157761972
