run;LHCFillNumber;partition;LHCperiod;with_beam;averageEventsPerSecond;duration;runQualityOverview;run_type;numberOfDetectors;totalEventsPhysics;numberOfLDCs;numberOfGDCs;totalEvents;eor_reason
260647;5267;PHYSICS_1;LHC16m;1;559.706295859;19446.000000;0.894736842;PHYSICS;17;10814580;199;18;10908116;Operator_Request
260616;5266;PHYSICS_1;LHC16m;1;524.963326226;32790.000000;0.894736842;PHYSICS;17;17077792;199;18;17234546;Clock_transition
260615;5266;PHYSICS_1;LHC16m;1;525.323625407;3923.000000;0.894736842;PHYSICS;17;2073431;199;18;2092364;pauseAndResetError
260614;5266;PHYSICS_1;LHC16m;1;541.597698449;4217.000000;0.888888888;PHYSICS;16;2285209;198;18;2306123;Operator_Request
260613;5266;PHYSICS_1;LHC16m;1;551.1531151;1852.000000;0.894736842;PHYSICS;17;1033939;199;18;1043884;Subsystem_failure:DCS
260611;5266;PHYSICS_1;LHC16m;1;517.678636011;3828.000000;0.888888888;PHYSICS;16;1985217;184;18;2003934;Operator_Request
260586;5265;PHYSICS_1;LHC16m;1;548.448220924;7493.000000;0.894736842;PHYSICS;17;4094640;199;18;4130912;Clock_transition
260565;5264;PHYSICS_1;LHC16m;1;464.641447368;262.000000;0.684210526;PHYSICS;17;138805;199;18;141251;BeamDump
260564;5264;PHYSICS_1;LHC16m;1;547.982712765;23269.000000;0.894736842;PHYSICS;17;12660795;199;18;12774573;Operator_Request
260542;5261;PHYSICS_1;LHC16m;1;543.186782608;5708.000000;0.894736842;PHYSICS;17;3094262;199;18;3123324;BeamDump
260541;5261;PHYSICS_1;LHC16m;1;532.951890034;4032.000000;0.894736842;PHYSICS;17;2150485;199;18;2171246;Operator_Request
260540;5261;PHYSICS_1;LHC16m;1;521.099013913;14748.000000;0.894736842;PHYSICS;17;7643552;199;18;7715392;pauseAndResetError
260539;5261;PHYSICS_1;LHC16m;1;539.231667623;10403.000000;0.894736842;PHYSICS;17;5581086;199;18;5632814;Operator_Request
260537;5261;PHYSICS_1;LHC16m;1;528.804268195;37632.000000;0.894736842;PHYSICS;17;19741798;199;18;19922172;Operator_Request
260497;5258;PHYSICS_1;LHC16m;1;494.424731182;703.000000;0.894736842;PHYSICS;17;363238;199;18;367852;BeamDump
260496;5258;PHYSICS_1;LHC16m;1;519.926188599;3756.000000;0.894736842;PHYSICS;17;1960589;199;18;1979359;pauseAndResetError
260495;5258;PHYSICS_1;LHC16m;1;544.931887755;3878.000000;0.888888888;PHYSICS;16;2116008;198;18;2136133;Operator_Request
