with_beam;run;partition;CINT7-B-NOPF-CENT__SEP__LMb_rate
1;260647;PHYSICS_1;116172.89379545
1;260616;PHYSICS_1;112340.17221962
1;260615;PHYSICS_1;114091.53733603
1;260614;PHYSICS_1;115025.50807114
1;260613;PHYSICS_1;115542.258548
1;260611;PHYSICS_1;116637.47363316
1;260586;PHYSICS_1;117150.12182791
1;260565;PHYSICS_1;105160.14645113
1;260564;PHYSICS_1;112137.99293132
1;260542;PHYSICS_1;108569.82858882
1;260541;PHYSICS_1;109067.73295969
1;260540;PHYSICS_1;105571.64262945
1;260539;PHYSICS_1;107334.36596341
1;260537;PHYSICS_1;110876.05946003
1;260497;PHYSICS_1;103048.96543683
1;260496;PHYSICS_1;105208.25006977
1;260495;PHYSICS_1;109044.6132227
1;260490;PHYSICS_1;105265.7715618
1;260487;PHYSICS_1;109367.73013482
1;260482;PHYSICS_1;112080.81939075
1;260481;PHYSICS_1;21773301.68429
1;260476;PHYSICS_1;107930.69684454
1;260475;PHYSICS_1;112050.67317351
1;260472;PHYSICS_1;110056.46221006
1;260471;PHYSICS_1;112573.12294352
1;260447;PHYSICS_1;107665.54568169
1;260441;PHYSICS_1;110233.0781671
1;260440;PHYSICS_1;106028.88016069
1;260437;PHYSICS_1;106494.10858871
1;260435;PHYSICS_1;109462.69256786
1;260432;PHYSICS_1;111785.49393694
1;260429;PHYSICS_1;112405.86046998
1;260411;PHYSICS_1;113536.00332227
1;260379;PHYSICS_1;111751.01298854
1;260357;PHYSICS_1;112037.60876505
1;260354;PHYSICS_1;109248.76780072
1;260351;PHYSICS_1;110472.40684297
1;260340;PHYSICS_1;115816.62096619
1;260338;PHYSICS_1;113634.97618024
1;260313;PHYSICS_1;110422.20040086
1;260312;PHYSICS_1;110408.19275878
1;260310;PHYSICS_1;114800.28012656
1;260240;PHYSICS_1;102966.25077762
1;260218;PHYSICS_1;1197.4025760257
