with_beam;run;partition;CINT7-B-NOPF-CENT__SEP__LMb_rate
1;264035;PHYSICS_1;107922.53584423
1;264033;PHYSICS_1;111191.40491961
1;263985;PHYSICS_1;106512.49352043
1;263984;PHYSICS_1;103018.62637781
1;263981;PHYSICS_1;105448.17850703
1;263979;PHYSICS_1;106897.48101664
1;263978;PHYSICS_1;106314.92510493
1;263977;PHYSICS_1;108493.36520949
1;263923;PHYSICS_1;109218.48273446
1;263922;PHYSICS_1;
1;263920;PHYSICS_1;105898.46094508
1;263917;PHYSICS_1;106683.00770987
1;263916;PHYSICS_1;109199.21163823
1;263905;PHYSICS_1;111592.52545952
1;263866;PHYSICS_1;113184.55391485
1;263863;PHYSICS_1;113333.63614809
1;263861;PHYSICS_1;112785.49257238
1;263830;PHYSICS_1;426595.30943012
1;263829;PHYSICS_1;407196.19874331
1;263824;PHYSICS_1;403136.86947674
1;263823;PHYSICS_1;415782.34186789
1;263814;PHYSICS_1;445754.8766567
1;263813;PHYSICS_1;406395.47561561
1;263810;PHYSICS_1;105573.43335724
1;263803;PHYSICS_1;109723.25427484
1;263792;PHYSICS_1;109802.00396359
1;263790;PHYSICS_1;107084.52695155
1;263789;PHYSICS_1;106195.07395398
1;263787;PHYSICS_1;108269.53239366
1;263786;PHYSICS_1;106976.66501495
1;263785;PHYSICS_1;111223.96708987
1;263784;PHYSICS_1;111096.93285034
1;263744;PHYSICS_1;102261.62088676
1;263743;PHYSICS_1;106748.04886096
1;263741;PHYSICS_1;108818.94123544
1;263739;PHYSICS_1;113253.79628712
1;263738;PHYSICS_1;107601.81983557
1;263737;PHYSICS_1;112069.33860469
1;263691;PHYSICS_1;105729.556984
1;263690;PHYSICS_1;106854.66107834
1;263689;PHYSICS_1;105156.0818062
1;263682;PHYSICS_1;112096.3344979
1;263663;PHYSICS_1;104676.72108351
1;263662;PHYSICS_1;108618.71109841
1;263657;PHYSICS_1;104911.3382061
1;263654;PHYSICS_1;106681.97011327
1;263653;PHYSICS_1;111053.4341159
1;263652;PHYSICS_1;108791.77812813
1;263648;PHYSICS_1;115472.71647738
1;263647;PHYSICS_1;111403.62645392
1;263540;PHYSICS_1;21773358.095104
1;263529;PHYSICS_1;112767.49190042
1;263497;PHYSICS_1;111591.48138888
1;263496;PHYSICS_1;113636.97017863
1;263490;PHYSICS_1;109170.37702923
1;263487;PHYSICS_1;110261.2375322
1;263332;PHYSICS_1;116458.02677609
1;263331;PHYSICS_1;62702.991810537
1;262858;PHYSICS_1;102419.38181729
1;262855;PHYSICS_1;105447.22484501
1;262853;PHYSICS_1;107398.12532328
1;262849;PHYSICS_1;108889.18738398
1;262847;PHYSICS_1;108720.98066694
1;262844;PHYSICS_1;110683.52601597
1;262842;PHYSICS_1;110386.1091391
1;262841;PHYSICS_1;110268.86261452
1;262778;PHYSICS_1;107188.26838594
1;262777;PHYSICS_1;110218.14266164
1;262776;PHYSICS_1;110525.46463855
1;262768;PHYSICS_1;109566.91246432
1;262760;PHYSICS_1;110100.21515185
1;262737;PHYSICS_1;
1;262734;PHYSICS_1;
1;262732;PHYSICS_1;
1;262731;PHYSICS_1;
1;262728;PHYSICS_1;
1;262727;PHYSICS_1;106571.18179571
1;262725;PHYSICS_1;108869.44242965
1;262723;PHYSICS_1;104799.3516611
1;262717;PHYSICS_1;104090.12154901
1;262716;PHYSICS_1;21773264.345532
1;262713;PHYSICS_1;108516.18669542
1;262712;PHYSICS_1;115155.94593803
1;262708;PHYSICS_1;112939.17107033
1;262706;PHYSICS_1;108267.86522784
1;262705;PHYSICS_1;110011.24865169
1;262635;PHYSICS_1;106301.69722542
1;262632;PHYSICS_1;109177.08168873
1;262628;PHYSICS_1;112798.67501972
1;262624;PHYSICS_1;111717.33124164
1;262593;PHYSICS_1;103687.00165026
1;262583;PHYSICS_1;108636.81006546
1;262578;PHYSICS_1;101964.85691442
1;262574;PHYSICS_1;107799.57385841
1;262572;PHYSICS_1;111162.39921602
1;262571;PHYSICS_1;107816.79888753
1;262570;PHYSICS_1;107997.03903561
1;262569;PHYSICS_1;110192.91825688
1;262568;PHYSICS_1;115344.01883913
1;262567;PHYSICS_1;108739.16268242
1;262563;PHYSICS_1;111047.161692
1;262537;PHYSICS_1;104691.43451064
1;262533;PHYSICS_1;108430.80791887
1;262532;PHYSICS_1;108333.65540476
1;262528;PHYSICS_1;110783.61509415
1;262492;PHYSICS_1;108779.62367742
1;262490;PHYSICS_1;101139.19072039
1;262489;PHYSICS_1;102902.55690065
1;262487;PHYSICS_1;107584.25020204
1;262451;PHYSICS_1;63131.633407243
1;262450;PHYSICS_1;61432.304139094
1;262430;PHYSICS_1;12288.234991461
1;262429;PHYSICS_1;12439.653087087
1;262428;PHYSICS_1;12198.563132047
1;262427;PHYSICS_1;11674.75608881
1;262426;PHYSICS_1;12023.901693354
1;262425;PHYSICS_1;12360.072143256
1;262424;PHYSICS_1;24645.198558203
1;262423;PHYSICS_1;24631.729157656
1;262422;PHYSICS_1;23934.288286624
1;262419;PHYSICS_1;24227.051336972
1;262418;PHYSICS_1;24879.338718463
1;262399;PHYSICS_1;6401.6388737776
1;262398;PHYSICS_1;5877.9410719937
1;262397;PHYSICS_1;6087.6165974075
1;262396;PHYSICS_1;6150.566032137
1;262395;PHYSICS_1;6264.9616946693
